Roll No,Gender,District,Rank,Apt_BAR,p1,p2,QuotaGroup,QuotaType,phaseNo,valid,amount,admitted,year
4471,Female,Kaski,4504,1,4,6,Open,Female Quota,3,1,900,0,2077
1277,Female,Kaski,3932,,28,,Open,Female Quota,3,1,300,1,2077
1277,Female,Kaski,3932,,30,1,Open,Female Quota,4,1,600,1,2077
6403,Female,Kaski,1400,1,2,12,Open,Female Quota,4,1,900,0,2077
1887,Male,Kaski,185,,1,2,Open,Open,1,1,900,1,2077
2947,Male,Kaski,84,,9,,Open,Open,1,1,300,1,2077
1296,Male,Kaski,1965,,29,30,Open,Open,1,1,600,1,2077
102,Male,Kaski,144,,11,12,Open,Open,1,1,1200,1,2077
3183,Male,Kaski,2493,,5,6,Open,Open,1,1,2100,0,2077
3093,Male,Kaski,555,,11,12,Open,Open,1,1,600,0,2077
370,Male,Kaski,290,,1,2,Open,Open,1,1,600,0,2077
3062,Male,Kaski,252,,1,2,Open,Open,1,1,900,1,2077
955,Male,Kaski,3477,,30,,Open,Open,1,1,300,0,2077
1008,Male,Kaski,274,,1,2,Open,Open,1,1,600,1,2077
7406,Male,Kaski,709,1,3,4,Open,Open,1,1,900,1,2077
1027,Male,Kaski,240,,1,2,Open,Open,1,1,600,1,2077
195,Male,Kaski,65,,11,7,Open,Open,1,1,900,1,2077
108,Male,Kaski,1981,,12,2,Open,Open,1,1,600,0,2077
2317,Male,Kaski,500,,12,8,Open,Open,1,1,900,0,2077
791,Male,Kaski,71,,11,12,Open,Open,1,1,900,1,2077
398,Male,Kaski,460,,12,,Open,Open,1,1,300,0,2077
6034,Male,Kaski,1666,,10,28,Open,Open,1,1,600,0,2077
836,Male,Kaski,1470,,8,,Open,Open,1,1,300,0,2077
1591,Male,Kaski,440,,12,8,Open,Open,1,1,1200,0,2077
177,Male,Kaski,191,,1,2,Open,Open,1,1,900,1,2077
2434,Male,Kaski,852,,1,2,Open,Open,1,1,600,0,2077
193,Male,Kaski,2093,,2,28,Open,Open,1,1,1800,0,2077
9124,Male,Kaski,1076,1,4,3,Open,Open,1,1,900,1,2077
6810,Male,Kaski,861,,2,,Open,Open,1,1,300,0,2077
545,Male,Kaski,764,,12,7,Open,Open,1,1,900,0,2077
1798,Male,Kaski,387,,2,,Open,Open,1,1,300,0,2077
980,Male,Kaski,577,,2,,Open,Open,1,1,300,0,2077
135,Male,Kaski,616,,12,,Open,Open,1,1,300,0,2077
6346,Male,Kaski,18,,1,,Open,Open,1,1,300,1,2077
5687,Male,Kaski,720,,9,29,Open,Open,1,1,600,1,2077
68,Male,Kaski,649,,1,2,Open,Open,1,1,600,0,2077
4451,Male,Kaski,6335,,11,,Open,Open,1,1,300,0,2077
4451,Male,Kaski,6335,,11,,Reserverd Quota,,1,0,300,0,2077
4770,Male,Kaski,5161,,10,12,Open,Open,1,1,600,0,2077
4852,Male,Kaski,110,,11,1,Open,Open,1,1,600,1,2077
546,Male,Kaski,394,,11,12,Open,Open,1,1,600,0,2077
7811,Male,Kaski,73,,11,9,Open,Open,1,1,1200,1,2077
4378,Male,Kaski,1417,,9,,Reserverd Quota,,1,0,300,0,2077
4378,Male,Kaski,1417,,9,,Open,Open,1,1,300,0,2077
11969,Male,Kaski,724,,10,,Open,Open,1,1,300,1,2077
5049,Male,Kaski,1152,,12,2,Open,Open,1,1,600,0,2077
719,Male,Kaski,1110,,12,,Open,Open,1,1,300,0,2077
62,Male,Kaski,1358,,10,,Open,Open,1,1,300,0,2077
11969,Male,Kaski,724,,9,,Open,Open,2,1,300,1,2077
955,Male,Kaski,3477,,8,,Open,Open,2,1,300,0,2077
2317,Male,Kaski,500,,12,,Open,Open,2,1,300,0,2077
6034,Male,Kaski,1666,,10,,Open,Open,2,1,300,0,2077
1296,Male,Kaski,1965,,29,10,Open,Open,3,1,900,1,2077
955,Male,Kaski,3477,,8,,Open,Open,3,1,300,0,2077
11969,Male,Kaski,724,,9,,Open,Open,3,1,300,1,2077
2317,Male,Kaski,500,,12,,Open,Open,3,1,300,0,2077
1058,Male,Kaski,1222,,2,,Open,Open,4,1,300,0,2077
2317,Male,Kaski,500,,12,,Open,Open,4,1,300,0,2077
2043,Female,Kathmandu,2115,,4,28,Open,Female Quota,1,1,1200,0,2077
89,Female,Kathmandu,612,,11,12,Open,Female Quota,1,1,1800,1,2077
9291,Female,Kathmandu,850,,1,2,Open,Female Quota,1,1,600,0,2077
10496,Female,Kathmandu,403,,11,12,Open,Female Quota,1,1,1800,0,2077
394,Female,Kathmandu,3923,,12,4,Open,Female Quota,1,1,900,0,2077
1129,Female,Kathmandu,43,,11,1,Open,Female Quota,1,1,600,1,2077
6378,Female,Kathmandu,611,,7,8,Open,Female Quota,1,1,1200,1,2077
2466,Female,Kathmandu,668,1,3,4,Open,Female Quota,1,1,900,1,2077
314,Female,Kathmandu,439,,1,3,Open,Female Quota,1,1,1500,1,2077
2871,Female,Kathmandu,4811,1,3,4,Open,Female Quota,1,1,900,0,2077
628,Female,Kathmandu,306,,11,12,Open,Female Quota,1,1,1200,1,2077
483,Female,Kathmandu,1242,1,1,2,Open,Female Quota,1,1,1500,0,2077
3784,Female,Kathmandu,1000,1,3,4,Open,Female Quota,1,1,1200,1,2077
6207,Female,Kathmandu,4047,,28,27,Open,Female Quota,1,1,600,0,2077
7650,Female,Kathmandu,2614,1,28,3,Open,Female Quota,1,1,1500,0,2077
4643,Female,Kathmandu,2368,1,3,4,Open,Female Quota,1,1,900,0,2077
3785,Female,Kathmandu,741,,12,2,Open,Female Quota,1,1,600,0,2077
5058,Female,Kathmandu,5716,1,27,3,Open,Female Quota,1,1,1200,0,2077
4166,Female,Kathmandu,458,,1,2,Open,Female Quota,1,1,600,1,2077
1101,Female,Kathmandu,4247,,3,,Reserverd Quota,,1,0,600,0,2077
477,Female,Kathmandu,2134,1,3,4,Open,Female Quota,1,1,1200,0,2077
4219,Female,Kathmandu,2607,1,4,,Open,Female Quota,1,1,600,0,2077
1900,Female,Kathmandu,1290,1,3,4,Open,Female Quota,1,1,900,0,2077
10444,Female,Kathmandu,4488,1,4,,Open,Female Quota,1,1,600,0,2077
860,Female,Kathmandu,1250,,27,28,Open,Female Quota,1,1,1800,1,2077
2023,Female,Kathmandu,1298,,3,4,Open,Female Quota,1,1,1500,1,2077
517,Female,Kathmandu,1082,,1,2,Open,Female Quota,1,1,600,0,2077
2092,Female,Kathmandu,1483,,1,2,Open,Female Quota,1,1,600,0,2077
1917,Female,Kathmandu,2103,,12,8,Open,Female Quota,1,1,600,0,2077
286,Female,Kathmandu,5449,,2,,Open,Female Quota,1,1,300,0,2077
4993,Female,Kathmandu,4164,1,4,,Open,Female Quota,1,1,600,0,2077
602,Female,Kathmandu,2007,,29,30,Open,Female Quota,1,1,600,1,2077
2221,Female,Kathmandu,6226,1,4,,Open,Female Quota,1,1,600,0,2077
4327,Female,Kathmandu,5961,1,4,,Open,Female Quota,1,1,600,0,2077
7350,Female,Kathmandu,1161,1,3,4,Open,Female Quota,1,1,900,1,2077
4314,Female,Kathmandu,1252,1,3,4,Open,Female Quota,1,1,900,0,2077
2205,Female,Kathmandu,1334,1,1,,IOE Staff,IOE Staff Quota,1,1,300,1,2077
2205,Female,Kathmandu,1334,1,1,2,Open,Female Quota,1,1,1500,1,2077
2366,Female,Kathmandu,569,1,2,3,Open,Female Quota,1,1,900,1,2077
4600,Female,Kathmandu,1285,1,3,4,Open,Female Quota,1,1,1500,0,2077
6309,Female,Kathmandu,1341,,11,12,Open,Female Quota,1,1,600,0,2077
2071,Female,Kathmandu,4898,,2,,Open,Female Quota,1,1,300,0,2077
6276,Female,Kathmandu,1481,1,3,4,Open,Female Quota,1,1,900,0,2077
1704,Female,Kathmandu,224,,1,2,Open,Female Quota,1,1,600,1,2077
2954,Female,Kathmandu,3900,,2,,Open,Female Quota,1,1,300,0,2077
9390,Female,Kathmandu,6694,,12,,Open,Female Quota,1,1,300,0,2077
6422,Female,Kathmandu,1871,1,2,4,Open,Female Quota,1,1,900,0,2077
6440,Female,Kathmandu,1742,,2,4,Open,Female Quota,1,1,900,0,2077
6489,Female,Kathmandu,1377,,3,4,Open,Female Quota,1,1,900,0,2077
2120,Female,Kathmandu,1599,,12,,Open,Female Quota,1,1,300,0,2077
3147,Female,Kathmandu,2667,1,4,3,Open,Female Quota,1,1,900,0,2077
2266,Female,Kathmandu,591,,11,12,Open,Female Quota,1,1,900,0,2077
4210,Female,Kathmandu,1167,,2,,Open,Female Quota,1,1,300,0,2077
4493,Female,Kathmandu,1137,,1,2,Open,Female Quota,1,1,600,0,2077
4769,Female,Kathmandu,1219,,29,30,Open,Female Quota,1,1,1200,0,2077
2705,Female,Kathmandu,1791,1,12,4,Open,Female Quota,1,1,1200,0,2077
12527,Female,Kathmandu,2022,,11,12,Open,Female Quota,1,1,600,0,2077
2500,Female,Kathmandu,3169,1,3,4,Open,Female Quota,1,1,1500,0,2077
6676,Female,Kathmandu,4415,1,4,28,Open,Female Quota,1,1,900,0,2077
5023,Female,Kathmandu,1935,,8,7,Open,Female Quota,1,1,600,1,2077
5737,Female,Kathmandu,2836,1,3,4,Open,Female Quota,1,1,900,0,2077
3624,Female,Kathmandu,4503,,7,29,Reserverd Quota,,1,0,600,0,2077
8014,Female,Kathmandu,1883,,2,,Open,Female Quota,1,1,300,0,2077
4916,Female,Kathmandu,2137,1,4,,Open,Female Quota,1,1,600,0,2077
5801,Female,Kathmandu,3583,1,3,4,Open,Female Quota,1,1,900,0,2077
8925,Female,Kathmandu,1894,,29,30,Open,Female Quota,1,1,600,1,2077
10852,Female,Kathmandu,6436,1,3,4,Open,Female Quota,1,1,900,0,2077
6091,Female,Kathmandu,3867,1,4,,Open,Female Quota,1,1,600,0,2077
4296,Female,Kathmandu,3330,,12,,Open,Female Quota,1,1,300,0,2077
6592,Female,Kathmandu,2547,,30,,Open,Female Quota,1,1,300,1,2077
5780,Female,Kathmandu,4643,1,4,,Open,Female Quota,1,1,600,0,2077
9772,Female,Kathmandu,3683,1,1,3,Reserverd Quota,,1,0,900,0,2077
9772,Female,Kathmandu,3683,1,2,4,Open,Female Quota,1,1,600,0,2077
1919,Female,Kathmandu,1645,,4,,Open,Female Quota,1,1,600,0,2077
11188,Female,Kathmandu,1407,,11,1,Open,Female Quota,1,1,600,0,2077
6910,Female,Kathmandu,1440,1,12,4,Open,Female Quota,1,1,900,0,2077
2494,Female,Kathmandu,5683,,12,,Open,Female Quota,1,1,300,0,2077
6409,Female,Kathmandu,3251,,29,30,Open,Female Quota,1,1,600,0,2077
2012,Female,Kathmandu,2857,,11,,Reserverd Quota,,1,0,300,0,2077
8093,Female,Kathmandu,4366,1,4,,Open,Female Quota,1,1,600,0,2077
7105,Female,Kathmandu,2208,,11,12,Open,Female Quota,1,1,600,0,2077
1917,Female,Kathmandu,2103,,8,,Open,Female Quota,2,1,300,0,2077
4219,Female,Kathmandu,2607,1,4,,Open,Female Quota,2,1,300,0,2077
1919,Female,Kathmandu,1645,,4,,Open,Female Quota,2,1,600,0,2077
602,Female,Kathmandu,2007,,29,,Open,Female Quota,2,1,300,1,2077
2500,Female,Kathmandu,3169,1,30,10,Open,Female Quota,2,1,600,0,2077
477,Female,Kathmandu,2134,1,4,,Open,Female Quota,2,1,300,0,2077
5058,Female,Kathmandu,5716,1,28,,Open,Female Quota,2,1,300,0,2077
5801,Female,Kathmandu,3583,1,4,,Open,Female Quota,2,1,300,0,2077
8925,Female,Kathmandu,1894,,6,5,Open,Female Quota,2,1,600,1,2077
7650,Female,Kathmandu,2614,1,28,4,Open,Female Quota,2,1,600,0,2077
6910,Female,Kathmandu,1440,1,3,4,Open,Female Quota,2,1,600,0,2077
5023,Female,Kathmandu,1935,,28,30,Open,Female Quota,2,1,600,1,2077
4314,Female,Kathmandu,1252,1,4,,Open,Female Quota,2,1,300,0,2077
9291,Female,Kathmandu,850,,2,,Open,Female Quota,2,1,300,0,2077
8093,Female,Kathmandu,4366,1,28,,Open,Female Quota,2,1,300,0,2077
7659,Female,Kathmandu,6720,,10,,Open,Female Quota,2,1,300,0,2077
6592,Female,Kathmandu,2547,,29,,Open,Female Quota,2,1,300,1,2077
602,Female,Kathmandu,2007,,29,,Open,Female Quota,3,1,300,1,2077
1919,Female,Kathmandu,1645,,4,,Open,Female Quota,3,1,300,0,2077
7650,Female,Kathmandu,2614,1,4,28,Open,Female Quota,3,1,600,0,2077
394,Female,Kathmandu,3923,,12,,Open,Female Quota,3,1,300,0,2077
2023,Female,Kathmandu,1298,,27,,Open,Female Quota,3,1,300,1,2077
6910,Female,Kathmandu,1440,1,4,,Open,Female Quota,3,1,300,0,2077
4993,Female,Kathmandu,4164,1,4,,Open,Female Quota,3,1,300,0,2077
477,Female,Kathmandu,2134,1,4,,Open,Female Quota,3,1,300,0,2077
4219,Female,Kathmandu,2607,1,4,,Open,Female Quota,3,1,300,0,2077
2071,Female,Kathmandu,4898,,1,2,Open,Female Quota,4,1,600,0,2077
5119,Male,Kathmandu,2658,,29,30,Open,Open,1,1,600,1,2077
1148,Male,Kathmandu,198,,11,12,Open,Open,1,1,1200,1,2077
2937,Male,Kathmandu,2044,,11,7,Open,Open,1,1,600,0,2077
5907,Male,Kathmandu,814,,12,9,Open,Open,1,1,900,1,2077
2383,Male,Kathmandu,698,,2,8,Open,Open,1,1,900,0,2077
3356,Male,Kathmandu,771,,8,6,Open,Open,1,1,600,0,2077
490,Male,Kathmandu,631,,11,12,Open,Open,1,1,600,0,2077
78,Male,Kathmandu,208,,11,12,Open,Open,1,1,1800,1,2077
2057,Male,Kathmandu,701,1,3,4,Open,Open,1,1,900,1,2077
1483,Male,Kathmandu,376,,12,9,Open,Open,1,1,1500,1,2077
2803,Male,Kathmandu,2265,,11,,Reserverd Quota,,1,0,300,0,2077
1767,Male,Kathmandu,772,,8,10,Open,Open,1,1,600,1,2077
1785,Male,Kathmandu,341,,1,2,Open,Open,1,1,1200,1,2077
5624,Male,Kathmandu,625,1,9,10,Open,Open,1,1,2100,1,2077
4135,Male,Kathmandu,47,,11,12,Open,Open,1,1,600,1,2077
874,Male,Kathmandu,2260,,29,30,Open,Open,1,1,600,1,2077
220,Male,Kathmandu,36,,7,8,Open,Open,1,1,600,1,2077
434,Male,Kathmandu,190,,11,12,Open,Open,1,1,1200,1,2077
328,Male,Kathmandu,938,,1,2,Open,Open,1,1,3600,0,2077
6950,Male,Kathmandu,624,,12,7,Open,Open,1,1,900,0,2077
1014,Male,Kathmandu,2003,,2,,Open,Open,1,1,300,0,2077
1929,Male,Kathmandu,619,,2,,Open,Open,1,1,300,0,2077
312,Male,Kathmandu,372,,12,11,Open,Open,1,1,600,0,2077
2048,Male,Kathmandu,462,,7,12,Open,Open,1,1,900,0,2077
3211,Male,Kathmandu,67,,1,2,Open,Open,1,1,600,1,2077
2242,Male,Kathmandu,1771,,6,8,Open,Open,1,1,1800,0,2077
6022,Male,Kathmandu,722,,8,10,Open,Open,1,1,600,0,2077
8166,Male,Kathmandu,713,,2,12,Open,Open,1,1,900,0,2077
2209,Male,Kathmandu,1260,,10,28,Open,Open,1,1,600,0,2077
2074,Male,Kathmandu,200,,11,12,Open,Open,1,1,600,1,2077
1534,Male,Kathmandu,754,,2,,Open,Open,1,1,300,0,2077
2528,Male,Kathmandu,2853,,29,30,Open,Open,1,1,600,1,2077
4158,Male,Kathmandu,4,,11,,Open,Open,1,1,300,1,2077
484,Male,Kathmandu,281,,11,12,Open,Open,1,1,1200,1,2077
4034,Male,Kathmandu,331,,12,7,Open,Open,1,1,1500,1,2077
2814,Male,Kathmandu,573,,11,12,Open,Open,1,1,600,0,2077
674,Male,Kathmandu,434,,1,2,Open,Open,1,1,1200,0,2077
7363,Male,Kathmandu,1963,,4,,Open,Open,1,1,600,0,2077
4194,Male,Kathmandu,384,,2,12,Open,Open,1,1,600,0,2077
9050,Male,Kathmandu,4967,,11,12,Open,Open,1,1,600,0,2077
905,Male,Kathmandu,30,,1,,Open,Open,1,1,300,1,2077
4585,Male,Kathmandu,353,,2,,Open,Open,1,1,300,1,2077
7503,Male,Kathmandu,349,,1,2,Open,Open,1,1,600,1,2077
649,Male,Kathmandu,1265,,1,2,Open,Open,1,1,1500,0,2077
653,Male,Kathmandu,315,,12,1,Open,Open,1,1,900,1,2077
8940,Male,Kathmandu,1523,,8,10,Open,Open,1,1,600,0,2077
4872,Male,Kathmandu,2595,,28,30,Open,Open,1,1,600,0,2077
7608,Male,Kathmandu,5761,,12,,Open,Open,1,1,300,0,2077
12028,Male,Kathmandu,108,,9,27,Open,Open,1,1,600,1,2077
3907,Male,Kathmandu,5,,11,7,Open,Open,1,1,600,1,2077
1164,Male,Kathmandu,124,,1,2,Open,Open,1,1,600,1,2077
2300,Male,Kathmandu,2840,,8,6,Open,Open,1,1,600,0,2077
1745,Male,Kathmandu,1874,,1,2,Open,Open,1,1,1200,0,2077
1038,Male,Kathmandu,1552,,10,6,Open,Open,1,1,600,0,2077
1998,Male,Kathmandu,1350,,27,28,Open,Open,1,1,1200,1,2077
5811,Male,Kathmandu,151,,1,2,Open,Open,1,1,600,1,2077
1158,Male,Kathmandu,6033,,5,6,Open,Open,1,1,1200,0,2077
74,Male,Kathmandu,1063,,9,10,Open,Open,1,1,1800,0,2077
10442,Male,Kathmandu,6039,,28,,Open,Open,1,1,300,0,2077
564,Male,Kathmandu,1900,1,3,4,Open,Open,1,1,900,0,2077
582,Male,Kathmandu,1351,,7,8,Open,Open,1,1,1200,0,2077
1905,Male,Kathmandu,226,,11,12,Open,Open,1,1,600,1,2077
5516,Male,Kathmandu,710,,12,8,Open,Open,1,1,600,0,2077
3,Male,Kathmandu,576,,12,7,Open,Open,1,1,900,0,2077
9945,Male,Kathmandu,3283,,11,12,Open,Open,1,1,600,0,2077
7433,Male,Kathmandu,1495,,8,12,Open,Open,1,1,600,0,2077
3528,Male,Kathmandu,566,,3,4,Open,Open,1,1,900,1,2077
1982,Male,Kathmandu,378,,7,8,Open,Open,1,1,1200,1,2077
2279,Male,Kathmandu,972,1,1,3,Open,Open,1,1,1200,1,2077
2279,Male,Kathmandu,972,1,1,,IOE Staff,IOE Staff Quota,1,0,300,1,2077
7116,Male,Kathmandu,615,,12,7,Open,Open,1,1,1800,1,2077
11944,Male,Kathmandu,843,,12,,Open,Open,1,1,300,0,2077
2338,Male,Kathmandu,520,,12,8,Open,Open,1,1,1200,0,2077
340,Male,Kathmandu,1751,,12,,Open,Open,1,1,300,0,2077
1669,Male,Kathmandu,869,1,3,4,Open,Open,1,1,900,1,2077
1923,Male,Kathmandu,699,,6,10,Open,Open,1,1,600,1,2077
349,Male,Kathmandu,1462,,8,,Open,Open,1,1,300,0,2077
5169,Male,Kathmandu,493,,11,12,Open,Open,1,1,1200,1,2077
6734,Male,Kathmandu,2449,,10,28,Open,Open,1,1,600,0,2077
2014,Male,Kathmandu,257,,11,12,Open,Open,1,1,1200,1,2077
605,Male,Kathmandu,119,,11,12,Open,Open,1,1,1200,1,2077
3962,Male,Kathmandu,1506,,27,28,Open,Open,1,1,1200,1,2077
120,Male,Kathmandu,24,,11,,Open,Open,1,1,300,1,2077
5714,Male,Kathmandu,899,,1,7,Reserverd Quota,Adivashi/Janajati,1,1,900,1,2077
208,Male,Kathmandu,792,,2,8,Open,Open,1,1,1200,1,2077
36,Male,Kathmandu,63,,1,,Open,Open,1,1,300,1,2077
1698,Male,Kathmandu,69,,1,,Open,Open,1,1,300,1,2077
5933,Male,Kathmandu,412,1,3,4,Open,Open,1,1,900,1,2077
2029,Male,Kathmandu,1629,,3,4,Open,Open,1,1,900,0,2077
4131,Male,Kathmandu,215,,1,2,Open,Open,1,1,600,1,2077
4871,Male,Kathmandu,199,,12,,Open,Open,1,1,300,0,2077
8059,Male,Kathmandu,488,,11,12,Open,Open,1,1,1200,0,2077
4840,Male,Kathmandu,237,,1,2,Open,Open,1,1,1200,1,2077
5833,Male,Kathmandu,1037,,28,6,Open,Open,1,1,1200,1,2077
2024,Male,Kathmandu,1329,,12,2,Open,Open,1,1,600,0,2077
5940,Male,Kathmandu,5526,,9,10,Open,Open,1,1,600,0,2077
7022,Male,Kathmandu,505,,1,2,Open,Open,1,1,2400,0,2077
2235,Male,Kathmandu,3168,,30,,Open,Open,1,1,300,0,2077
1495,Male,Kathmandu,1764,,27,,Open,Open,1,1,300,0,2077
900,Male,Kathmandu,399,,1,2,Open,Open,1,1,600,0,2077
4773,Male,Kathmandu,2272,,10,30,Open,Open,1,1,900,0,2077
4282,Male,Kathmandu,379,,27,28,Open,Open,1,1,600,1,2077
5784,Male,Kathmandu,5607,1,4,8,Open,Open,1,1,900,0,2077
6048,Male,Kathmandu,1127,,6,,Open,Open,1,1,300,0,2077
4145,Male,Kathmandu,3368,1,4,,Open,Open,1,1,600,0,2077
6821,Male,Kathmandu,840,,1,9,Open,Open,1,1,1200,0,2077
2651,Male,Kathmandu,34,,1,,Open,Open,1,1,300,1,2077
6585,Male,Kathmandu,4985,,4,,Open,Open,1,1,600,0,2077
6355,Male,Kathmandu,230,,1,2,Open,Open,1,1,900,1,2077
1267,Male,Kathmandu,287,,1,12,Open,Open,1,1,900,1,2077
1339,Male,Kathmandu,867,,28,,Open,Open,1,1,300,0,2077
2464,Male,Kathmandu,429,,1,2,Open,Open,1,1,600,0,2077
2244,Male,Kathmandu,1107,,2,12,Open,Open,1,1,600,0,2077
762,Male,Kathmandu,640,,2,,Open,Open,1,1,300,0,2077
6756,Male,Kathmandu,1175,,11,12,Open,Open,1,1,600,0,2077
2541,Male,Kathmandu,2340,,11,12,Open,Open,1,1,1200,0,2077
830,Male,Kathmandu,421,,12,11,Open,Open,1,1,600,0,2077
143,Male,Kathmandu,390,,1,2,Open,Open,1,1,600,0,2077
1116,Male,Kathmandu,418,,12,,Open,Open,1,1,300,0,2077
4889,Male,Kathmandu,950,,27,28,Open,Open,1,1,600,1,2077
1756,Male,Kathmandu,2559,,10,,Open,Open,1,1,300,0,2077
2659,Male,Kathmandu,348,,5,7,Open,Open,1,1,900,1,2077
1978,Male,Kathmandu,317,,1,2,Open,Open,1,1,600,1,2077
3088,Male,Kathmandu,902,,27,28,Open,Open,1,1,1200,1,2077
6728,Male,Kathmandu,2389,,5,,Open,Open,1,1,300,0,2077
5591,Male,Kathmandu,1922,,29,30,Open,Open,1,1,600,1,2077
4800,Male,Kathmandu,652,,27,10,Open,Open,1,1,1200,1,2077
439,Male,Kathmandu,88,,1,2,Open,Open,1,1,600,1,2077
6055,Male,Kathmandu,1518,1,4,,Open,Open,1,1,600,0,2077
8983,Male,Kathmandu,312,,11,12,Open,Open,1,1,1200,1,2077
6053,Male,Kathmandu,1761,,12,,Open,Open,1,1,300,0,2077
3649,Male,Kathmandu,2514,,5,6,Open,Open,1,1,600,0,2077
2916,Male,Kathmandu,537,,7,8,Open,Open,1,1,600,0,2077
4728,Male,Kathmandu,484,,1,,Open,Open,1,1,300,0,2077
12167,Male,Kathmandu,210,,12,7,Open,Open,1,1,900,1,2077
1623,Male,Kathmandu,655,,7,8,Open,Open,1,1,600,0,2077
2522,Male,Kathmandu,1346,,9,10,Open,Open,1,1,600,0,2077
1499,Male,Kathmandu,934,,2,8,Open,Open,1,1,600,0,2077
2237,Male,Kathmandu,818,,2,8,Open,Open,1,1,900,0,2077
4602,Male,Kathmandu,828,,2,,Open,Open,1,1,300,0,2077
5315,Male,Kathmandu,849,,12,,Open,Open,1,1,300,0,2077
2136,Male,Kathmandu,783,,2,,Open,Open,1,1,300,0,2077
12369,Male,Kathmandu,6065,,5,29,Open,Open,1,1,2400,0,2077
8135,Male,Kathmandu,1385,,2,27,Open,Open,1,1,900,0,2077
2257,Male,Kathmandu,1228,,7,8,Open,Open,1,1,900,0,2077
4104,Male,Kathmandu,987,1,3,,Open,Open,1,1,600,0,2077
9623,Male,Kathmandu,1655,1,3,4,Open,Open,1,1,900,0,2077
6945,Male,Kathmandu,4653,,11,1,Reserverd Quota,,1,0,1200,0,2077
2059,Male,Kathmandu,3999,,30,,Open,Open,1,1,300,0,2077
9153,Male,Kathmandu,5049,,2,8,Open,Open,1,1,900,0,2077
8831,Male,Kathmandu,3955,,11,,Open,Open,1,1,300,0,2077
1737,Male,Kathmandu,981,,2,6,Open,Open,1,1,600,0,2077
11654,Male,Kathmandu,6684,,11,,Open,Open,1,1,300,0,2077
3946,Male,Kathmandu,635,,12,7,Open,Open,1,1,900,0,2077
12102,Male,Kathmandu,3305,,8,30,Open,Open,1,1,600,0,2077
458,Male,Kathmandu,863,,2,,Open,Open,1,1,300,0,2077
3774,Male,Kathmandu,3324,,7,,IOE Staff,IOE Staff Quota,1,0,300,0,2077
3774,Male,Kathmandu,3324,,7,8,Open,Open,1,1,1200,0,2077
78,Male,Kathmandu,208,,5,,Open,Open,2,1,300,1,2077
1737,Male,Kathmandu,981,,6,,Open,Open,2,1,300,0,2077
1901,Male,Kathmandu,5179,,12,,Open,Open,2,1,300,0,2077
1785,Male,Kathmandu,341,,1,,Open,Open,2,1,300,1,2077
490,Male,Kathmandu,631,,11,12,Open,Open,2,1,1200,0,2077
1767,Male,Kathmandu,772,,9,,Open,Open,2,1,300,1,2077
4194,Male,Kathmandu,384,,2,12,Open,Open,2,1,600,0,2077
4872,Male,Kathmandu,2595,,28,,Open,Open,2,1,300,0,2077
564,Male,Kathmandu,1900,1,3,4,Open,Open,2,1,600,0,2077
695,Male,Kathmandu,4008,,1,2,Open,Open,2,1,600,0,2077
5907,Male,Kathmandu,814,,10,,Open,Open,2,1,300,1,2077
7022,Male,Kathmandu,505,,1,2,Open,Open,2,1,600,0,2077
10499,Male,Kathmandu,3830,,6,,Open,Open,2,1,300,0,2077
1923,Male,Kathmandu,699,,8,5,Open,Open,2,1,600,1,2077
3528,Male,Kathmandu,566,,3,4,Open,Open,2,1,1800,1,2077
900,Male,Kathmandu,399,,2,,Open,Open,2,1,300,0,2077
11685,Male,Kathmandu,3344,,28,,Open,Open,2,1,300,0,2077
10018,Male,Kathmandu,1989,,4,,Open,Open,2,1,600,0,2077
1267,Male,Kathmandu,287,,12,,Open,Open,2,1,300,1,2077
2522,Male,Kathmandu,1346,,9,10,Open,Open,2,1,600,0,2077
74,Male,Kathmandu,1063,,7,8,Open,Open,2,1,1800,0,2077
2814,Male,Kathmandu,573,,8,,Open,Open,2,1,300,0,2077
143,Male,Kathmandu,390,,2,,Open,Open,2,1,300,0,2077
9623,Male,Kathmandu,1655,1,4,,Open,Open,2,1,300,0,2077
9153,Male,Kathmandu,5049,,30,28,Open,Open,2,1,600,0,2077
2916,Male,Kathmandu,537,,7,8,Open,Open,2,1,600,0,2077
9268,Male,Kathmandu,4954,,4,,Open,Open,2,1,600,0,2077
3962,Male,Kathmandu,1506,,27,2,Open,Open,2,1,600,1,2077
6945,Male,Kathmandu,4653,,4,12,Open,Open,2,1,900,0,2077
2257,Male,Kathmandu,1228,,6,8,Open,Open,2,1,600,0,2077
5591,Male,Kathmandu,1922,,6,,Open,Open,2,1,300,1,2077
4872,Male,Kathmandu,2595,,28,,Open,Open,3,1,300,0,2077
3962,Male,Kathmandu,1506,,27,,Open,Open,3,1,300,1,2077
490,Male,Kathmandu,631,,11,12,Open,Open,3,1,1200,0,2077
5516,Male,Kathmandu,710,,8,,Open,Open,3,1,300,0,2077
2916,Male,Kathmandu,537,,7,8,Open,Open,3,1,1200,0,2077
143,Male,Kathmandu,390,,2,12,Open,Open,3,1,600,0,2077
4194,Male,Kathmandu,384,,2,,Open,Open,3,1,300,0,2077
900,Male,Kathmandu,399,,2,,Open,Open,3,1,300,0,2077
12483,Male,Kathmandu,2440,,4,27,Open,Open,3,1,1200,0,2077
6945,Male,Kathmandu,4653,,12,8,Open,Open,3,1,600,0,2077
